System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:53:55:397, 972662563846692,    1.142,    8.000, 2500,   8.772,  10.021,   2.783,   7.130,   8.145,   2.263, 56,  0,   0.567,   0.648,   0.180,   0.013,   0.015,   0.004,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.262
19:53:56:414, 972665200937532,    2.160,    7.000, 2400,   9.770,  19.960,   5.545,   8.133,  16.420,   4.561, 56,  0,   0.532,   1.189,   0.330,   0.012,   0.027,   0.007,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.239
19:53:57:429, 972667831403195,    3.175,    7.000, 4100,   6.475,  26.532,   7.370,   4.903,  21.395,   5.943, 60,  0,   0.495,   1.691,   0.470,   0.005,   0.032,   0.009,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.020
19:53:58:445, 972670464775626,    4.190,    7.000, 4500,   9.324,  36.005,  10.001,   7.710,  29.229,   8.119, 60,  0,   0.494,   2.193,   0.609,   0.005,   0.037,   0.010,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.020
19:53:59:454, 972673079935242,    5.199,   31.000, 1700,  40.843,  77.213,  21.448,  38.746,  68.321,  18.978, 64,  0,   0.977,   3.179,   0.883,   0.013,   0.049,   0.014,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.138
19:54:00:468, 972675708005938,    6.213,   11.000, 4100,  13.533,  90.935,  25.260,  11.811,  80.296,  22.305, 73,  0,   0.602,   3.789,   1.053,   0.010,   0.059,   0.016,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.041
19:54:01:470, 972678306491197,    7.216,   13.000, 4200,  18.610, 109.591,  30.442,  16.860,  97.199,  27.000, 76,  0,   0.654,   4.445,   1.235,   0.006,   0.065,   0.018,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.028
19:54:02:479, 972680921990547,    8.225,   15.000, 1300,  17.865, 127.618,  35.449,  16.125, 113.470,  31.519, 61,  0,   0.678,   5.129,   1.425,   0.007,   0.072,   0.020,  60.000, 107.000, 163.000,   0.000, 220.000,    3,   0.043
19:54:03:510, 972683595023391,    9.256,    8.000, 2000,   7.866, 135.730,  37.703,   6.277, 119.943,  33.318, 56,  0,   0.509,   5.654,   1.571,   0.012,   0.084,   0.023,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.020
19:54:04:526, 972686226400560,   10.271,    6.000,  800,   3.919, 139.708,  38.808,   2.389, 122.369,  33.991, 55,  0,   0.484,   6.146,   1.707,   0.005,   0.089,   0.025,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.013
19:54:05:536, 972688845774628,   11.282,    7.000,  800,   8.113, 147.906,  41.085,   6.634, 129.073,  35.854, 55,  0,   0.492,   6.643,   1.845,   0.006,   0.096,   0.027,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.016
19:54:06:551, 972691475995614,   12.297,    9.000,  800,   6.425, 154.426,  42.896,   4.865, 134.010,  37.225, 55,  0,   0.520,   7.170,   1.992,   0.006,   0.102,   0.028,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.019
19:54:07:566, 972694108169590,   13.312,   12.000,  800,  15.023, 169.682,  47.134,  13.299, 147.515,  40.976, 56,  0,   0.567,   7.746,   2.152,   0.008,   0.110,   0.030,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.021
19:54:08:587, 972696753746091,   14.333,   13.000, 1700,  15.507, 185.510,  51.530,  13.790, 161.590,  44.886, 64,  0,   0.650,   8.409,   2.336,   0.007,   0.117,   0.032,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.021
19:54:09:592, 972699359151058,   15.338,    8.000, 2700,   7.748, 193.297,  53.694,   6.108, 167.729,  46.592, 56,  0,   0.511,   8.923,   2.479,   0.007,   0.123,   0.034,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.033
19:54:10:610, 972701996786942,   16.356,    6.000, 4100,   6.359, 199.769,  55.491,   4.784, 172.598,  47.944, 57,  0,   0.492,   9.424,   2.618,   0.008,   0.131,   0.037,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.034

Total Elapsed Time (sec) = 16.355630
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 199.768616
Cumulative Processor Energy_0 (mWh) = 55.491282
Average Processor Power_0 (Watt) = 12.214058

Cumulative IA Energy_0 (Joules) = 172.597595
Cumulative IA Energy_0 (mWh) = 47.943776
Average IA Power_0 (Watt) = 10.552794

Cumulative DRAM Energy_0 (Joules) = 9.423889
Cumulative DRAM Energy_0 (mWh) = 2.617747
Average DRAM Power_0 (Watt) = 0.576186

Cumulative GT Energy_0 (Joules) = 0.131409
Cumulative GT Energy_0 (mWh) = 0.036502
Average GT Power_0 (Watt) = 0.008034
